"","Expression","gene","group"
"155",11.4231159101471,"METTL3","tumor"
"156",10.7681843247769,"METTL3","tumor"
"157",11.5454471816781,"METTL3","tumor"
"158",11.5176693881338,"METTL3","tumor"
"159",10.2419831496943,"METTL3","tumor"
"160",11.2667865406949,"METTL3","tumor"
"161",11.9571020415623,"METTL3","tumor"
"162",11.2106713437856,"METTL3","tumor"
"163",10.8265484872909,"METTL3","tumor"
"164",11.8423503434138,"METTL3","tumor"
"165",10.6582114827518,"METTL3","tumor"
"166",11.0230612497353,"METTL3","tumor"
"167",11.3987436919382,"METTL3","tumor"
"168",9.97441458980553,"METTL3","tumor"
"169",10.3219280948874,"METTL3","tumor"
"170",10.1959872980285,"METTL3","tumor"
"171",10.6724253419715,"METTL3","tumor"
"172",10.4888443464573,"METTL3","tumor"
"173",10.7270695580237,"METTL3","tumor"
"174",10.5727002264873,"METTL3","tumor"
"175",10.9151324489507,"METTL3","tumor"
"176",9.68650052718322,"METTL3","tumor"
"177",11.4681148863781,"METTL3","tumor"
"178",11.6523968614777,"METTL3","tumor"
"179",11.6532929453828,"METTL3","tumor"
"180",11.5102696708982,"METTL3","tumor"
"181",10.0154150523867,"METTL3","tumor"
"182",10.843921051289,"METTL3","tumor"
"183",12.089781488354,"METTL3","tumor"
"184",11.4141566792741,"METTL3","tumor"
"185",11.240791332162,"METTL3","tumor"
"186",10.6348110501717,"METTL3","tumor"
"187",11.3353903546939,"METTL3","tumor"
"188",11.3145832442742,"METTL3","tumor"
"189",10.8649599151426,"METTL3","tumor"
"190",10.3083390301394,"METTL3","tumor"
"191",10.8887432488983,"METTL3","tumor"
"192",10.1972166931101,"METTL3","tumor"
"193",11.2354159356025,"METTL3","tumor"
"194",11.1427452767515,"METTL3","tumor"
"195",10.9992953870234,"METTL3","tumor"
"196",10.9879745242962,"METTL3","tumor"
"197",10.6384359139905,"METTL3","tumor"
"198",10.3652288492515,"METTL3","tumor"
"199",10.6447575925163,"METTL3","tumor"
"200",12.0914353863236,"METTL3","tumor"
"201",11.8967108157261,"METTL3","tumor"
"202",10.5622424242211,"METTL3","tumor"
"203",10.5641494899857,"METTL3","tumor"
"204",11.2544381482673,"METTL3","tumor"
"205",11.3987436919382,"METTL3","tumor"
"206",11.2076244682268,"METTL3","tumor"
"207",11.1228279948077,"METTL3","tumor"
"208",11.7120970510875,"METTL3","tumor"
"209",10.5401280385821,"METTL3","tumor"
"210",11.418379719365,"METTL3","tumor"
"211",10.6375305515253,"METTL3","tumor"
"212",11.3145832442742,"METTL3","tumor"
"213",10.1318569606088,"METTL3","tumor"
"214",11.4737057496194,"METTL3","tumor"
"215",11.8552578271932,"METTL3","tumor"
"216",11.1006623390052,"METTL3","tumor"
"217",10.7870863245516,"METTL3","tumor"
"218",11.2573878426927,"METTL3","tumor"
"219",10.7389366816761,"METTL3","tumor"
"220",11.4537850554962,"METTL3","tumor"
"221",10.5028318040667,"METTL3","tumor"
"222",10.6501542136751,"METTL3","tumor"
"223",10.6688849842662,"METTL3","tumor"
"224",10.2784494582205,"METTL3","tumor"
"225",11.1273495410591,"METTL3","tumor"
"226",11.2946207488916,"METTL3","tumor"
"227",11.2082343583398,"METTL3","tumor"
"228",10.1598713367784,"METTL3","tumor"
"229",10.4696418172395,"METTL3","tumor"
"230",10.4828079567267,"METTL3","tumor"
"231",10.5915223465707,"METTL3","tumor"
"232",10.1176431013891,"METTL3","tumor"
"233",9.54109661534952,"METTL3","tumor"
"234",10.2106713437856,"METTL3","tumor"
"235",9.77807712953536,"METTL3","tumor"
"236",10.1799090900149,"METTL3","tumor"
"237",11.2258099406235,"METTL3","tumor"
"238",9.99293833616581,"METTL3","tumor"
"239",11.3542493819452,"METTL3","tumor"
"240",10.7952279660287,"METTL3","tumor"
"241",11.6316318059176,"METTL3","tumor"
"242",10.6137894644726,"METTL3","tumor"
"243",11.6307221621038,"METTL3","tumor"
"244",11.2685420003001,"METTL3","tumor"
"245",10.1586096882145,"METTL3","tumor"
"246",9.98726401207254,"METTL3","tumor"
"247",10.8780509127285,"METTL3","tumor"
"248",10.4614794472862,"METTL3","tumor"
"249",9.98299357469431,"METTL3","tumor"
"250",10.1799090900149,"METTL3","tumor"
"251",10.9277779620823,"METTL3","tumor"
"252",11.1098306542788,"METTL3","tumor"
"253",11.2161395564251,"METTL3","tumor"
"254",10.5274770060604,"METTL3","tumor"
"255",9.78790255939143,"METTL3","tumor"
"256",10.1674181458317,"METTL3","tumor"
"257",10.951284714967,"METTL3","tumor"
"258",10.6987046667703,"METTL3","tumor"
"259",10.4512111118323,"METTL3","tumor"
"260",10.8423503434138,"METTL3","tumor"
"261",11.2124963851939,"METTL3","tumor"
"262",10.5584207132687,"METTL3","tumor"
"263",10.292321632802,"METTL3","tumor"
"264",11.1947568544222,"METTL3","tumor"
"265",10.0927571409199,"METTL3","tumor"
"266",11.7376698631775,"METTL3","tumor"
"267",11.0478055540076,"METTL3","tumor"
"268",11.3874788658424,"METTL3","tumor"
"269",9.7632123668144,"METTL3","tumor"
"270",10.7073591320809,"METTL3","tumor"
"271",9.4797802640291,"METTL3","tumor"
"272",10.8185821774809,"METTL3","tumor"
"273",11.6101020629997,"METTL3","tumor"
"274",9.25029841790633,"METTL3","tumor"
"275",10.5859014496908,"METTL3","tumor"
