"","logFC","logCPM","LR","PValue","FDR"
"UGT2B15",-1.22981147873191,5.61506672541445,51.0377252305773,9.06077266932211e-13,4.9270806674944e-11
"VGF",-1.24197026244647,5.89623197410771,74.7295393541732,5.39823455980874e-18,5.25292869722141e-16
"VIL1",-1.35341189473715,6.13412291633877,103.393815065643,2.74731047625431e-24,5.22877826230637e-22
"WFDC12",1.3926462944823,5.4817044314899,101.222265724726,8.22198999055813e-24,1.43795938456491e-21
"WFDC5",1.10312463040961,5.13237041198921,39.0208463580562,4.19304156804372e-10,1.47063262801143e-08
"WNT3A",1.20067366480945,5.97254051683701,139.001182595081,4.40187216298686e-32,2.19111652051446e-29
"ZIC1",-1.08692063739353,5.26418445093835,30.0932723704428,4.11757190506143e-08,9.99805170643621e-07
"ZIC2",-1.66605903699039,5.67743875219685,92.0653761983234,8.38598233470358e-22,1.17968894973624e-19
"ZMAT4",-1.12661678066958,5.42559824023394,37.8804933305147,7.52135285313351e-10,2.47687909987924e-08
"ZYG11A",-1.63351770537151,6.05099862205359,128.924481533953,7.04484210378759e-30,2.76285898506724e-27
